921,137
313,960
560,395
893,229
772,481
487,27
31,58
374,452
25,703
656,479
784,672
616,781
119,365
688,99
464,334
452,174
139,754
135,377
579,226
936,141
741,247
785,844
174,492
705,322
25,513
42,98
48,66
641,785
880,83
436,274
88,171
401,365
944,20
936,347
336,244
674,982
855,155
414,751
341,162
902,730
423,694
51,753
273,311
932,356
90,537
131,102
386,907
757,105
837,391
484,419
163,226
21,123
267,377
609,153
356,564
60,297
210,674
740,373
850,51
365,775
706,453
300,807
538,480
991,101
87,582
621,768
779,872
328,136
244,43
523,241
910,896
660,346
97,197
470,154
312,986
935,111
847,612
926,307
737,602
392,366
596,741
505,588
862,42
733,18
302,850
198,374
667,608
91,91
258,185
900,38
341,658
705,545
630,455
961,706
262,802
789,434
554,394
107,911
693,574
408,870
